"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,33,0,2,3,1,5,33,0,0.0606060606060606,0.0909090909090909,0.0303030303030303,0.151515151515152,1
2,53,53,15,0,0,3,30,1,0.283018867924528,0,0,0.0566037735849057,0.566037735849057
3,59,0,0,41,46,47,0,0,0,0.694915254237288,0.779661016949153,0.796610169491525,0
4,53,5,38,46,2,0,0,0.0943396226415094,0.716981132075472,0.867924528301887,0.0377358490566038,0,0
