"neuron","labelset","frequencia"
1,"001110",23
1,"000110",13
1,"001100",10
1,"001010",8
1,"000010",4
1,"000100",2
1,"001011",1
2,"100001",27
2,"000001",24
2,"000011",4
2,"001001",1
2,"010001",1
2,"100011",1
3,"011000",24
3,"001000",14
3,"111000",3
3,"011100",2
3,"101000",1
4,"110000",12
4,"010000",8
4,"100000",8
4,"110001",3
4,"100010",2
4,"010010",1
