"neuron","labelset","frequencia"
1,"011000",24
1,"110000",12
1,"010000",8
1,"111000",3
1,"011100",2
1,"010010",1
2,"100001",27
2,"000001",24
2,"100000",8
2,"000011",4
2,"110001",3
2,"010001",1
2,"100011",1
3,"001110",23
3,"000110",13
3,"001100",10
3,"000100",2
4,"001000",14
4,"001010",8
4,"000010",4
4,"100010",2
4,"001001",1
4,"001011",1
4,"101000",1
