"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive"
1,53,17,53,31,3,0,0
2,74,0,0,56,46,48,3
3,71,41,4,0,0,8,61
