"neuron","labelset","frequencia"
1,"000001",24
1,"000011",4
1,"010001",2
1,"001001",1
1,"001011",1
2,"011000",25
2,"001000",14
2,"010000",7
2,"111000",4
2,"011100",2
2,"101000",1
3,"100001",27
3,"110000",13
3,"100000",8
3,"100010",2
3,"110001",2
3,"100011",1
4,"001110",22
4,"000110",12
4,"001100",10
4,"001010",9
4,"000010",4
4,"000100",2
4,"001101",1
