"labelset","n","mean_distance","cluster_neuron"
"001101",1,1.44680108323038,"C1N1"
"001011",1,1.31036319678127,"C1N1"
"010001",2,0.992929960955928,"C1N1"
"000011",4,0.879319816781326,"C1N1"
"001001",1,0.737524782842375,"C1N1"
"000001",24,0.306481402842432,"C1N1"
"100010",2,1.31156825321106,"C1N2"
"100011",1,1.23720767678026,"C1N2"
"110000",13,0.788066263880088,"C1N2"
"110001",2,0.713705687449286,"C1N2"
"100000",8,0.447052861687398,"C1N2"
"100001",27,0.372692285256596,"C1N2"
"000100",2,1.03826089856083,"C2N3"
"000010",4,0.96632523617519,"C2N3"
"001100",10,0.731252541823749,"C2N3"
"001010",9,0.659316879438105,"C2N3"
"000110",12,0.637528723373106,"C2N3"
"001110",22,0.330520366636021,"C2N3"
"101000",1,1.1279874303304,"C3N4"
"011100",2,1.10825384255564,"C3N4"
"111000",4,1.02409154680716,"C3N4"
"010000",7,0.787160114272088,"C3N4"
"001000",14,0.446372755761853,"C3N4"
"011000",25,0.342476872238605,"C3N4"
