"neuron","labelset","frequencia"
1,"001000",120
1,"000100",109
1,"001100",8
1,"100100",1
2,"000010",135
2,"000110",25
2,"100010",13
2,"001010",4
3,"000001",135
3,"100001",6
3,"000101",2
4,"100000",123
4,"010000",121
