"cluster","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,482,124,121,128,118,0,0,0.257261410788382,0.25103734439834,0.265560165975104,0.244813278008299,0,0
2,177,13,0,4,25,177,0,0.0734463276836158,0,0.0225988700564972,0.141242937853107,1,0
3,143,6,0,0,2,0,143,0.041958041958042,0,0,0.013986013986014,0,1
