"cluster","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","fold","dataset","neighborhood"
1,131,0,0,131,7,4,0,1,"scene","bubble"
2,671,143,121,1,137,174,144,1,"scene","bubble"
1,681,141,0,133,144,178,144,2,"scene","bubble"
2,122,0,122,0,0,0,0,2,"scene","bubble"
1,625,130,121,128,120,0,143,3,"scene","bubble"
2,177,13,0,4,25,177,0,3,"scene","bubble"
