"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,238,1,0,128,118,0,0,0.00420168067226891,0,0.53781512605042,0.495798319327731,0,0
2,177,13,0,4,25,177,0,0.0734463276836158,0,0.0225988700564972,0.141242937853107,1,0
3,143,6,0,0,2,0,143,0.041958041958042,0,0,0.013986013986014,0,1
4,244,123,121,0,0,0,0,0.504098360655738,0.495901639344262,0,0,0,0
