"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,53,17,53,31,3,0,0,0.320754716981132,1,0.584905660377358,0.0566037735849057,0,0
2,74,0,0,56,46,48,3,0,0,0.756756756756757,0.621621621621622,0.648648648648649,0.0405405405405405
3,71,41,4,0,0,8,61,0.577464788732394,0.0563380281690141,0,0,0.112676056338028,0.859154929577465
