"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,61,0,0,42,48,49,1,0,0,0.688524590163934,0.786885245901639,0.80327868852459,0.0163934426229508
2,92,53,25,1,0,8,61,0.576086956521739,0.271739130434783,0.0108695652173913,0,0.0869565217391304,0.66304347826087
3,44,4,29,44,2,0,0,0.0909090909090909,0.659090909090909,1,0.0454545454545455,0,0
