"labelset","n","mean_distance","cluster_neuron"
"010010",1,1.21926528793238,"C1N1"
"011100",2,1.15538401180812,"C1N1"
"110000",12,0.960532507603309,"C1N1"
"111000",3,0.89083177068303,"C1N1"
"010000",8,0.478297438689407,"C1N1"
"011000",24,0.408596701769128,"C1N1"
"000011",4,1.18945124813459,"C1N2"
"100011",1,1.16638657328732,"C1N2"
"010001",1,1.08160519273314,"C1N2"
"110001",3,1.05854051788587,"C1N2"
"100000",8,0.861123786258041,"C1N2"
"000001",24,0.350215336576401,"C1N2"
"100001",27,0.32715066172913,"C1N2"
"100010",2,1.49298695536323,"C1N4"
"001011",1,1.25102904709553,"C1N4"
"001001",1,1.03050649742143,"C1N4"
"101000",1,1.02732330929976,"C1N4"
"000010",4,0.863752364747341,"C1N4"
"001010",8,0.618611268357974,"C1N4"
"001000",14,0.398088718683878,"C1N4"
"000100",2,0.983636043924518,"C2N3"
"000110",13,0.63128412812563,"C2N3"
"001100",10,0.592722518060177,"C2N3"
"001110",23,0.240370602261289,"C2N3"
