"labelset","n","mean_distance","cluster_neuron"
"010010",1,1.38849457820234,"C1N1"
"011100",2,1.17906829258141,"C1N1"
"110000",12,0.863245769168486,"C1N1"
"111000",3,0.672484540093408,"C1N1"
"010000",8,0.439284508619619,"C1N1"
"011000",24,0.248523279544541,"C1N1"
"001001",1,1.3195737054791,"C1N3"
"010001",1,1.19834704202194,"C1N3"
"000011",4,1.18631710921765,"C1N3"
"110001",3,1.09007374051941,"C1N3"
"100011",1,1.07804380771512,"C1N3"
"100000",8,0.971913208126433,"C1N3"
"000001",24,0.333004105800509,"C1N3"
"100001",27,0.224730804297979,"C1N3"
"101000",1,1.60602084880839,"C2N2"
"001011",1,1.5307214802189,"C2N2"
"001000",14,0.65088921461763,"C2N2"
"001010",8,0.557236228928999,"C2N2"
"001100",10,0.465661893292598,"C2N2"
"001110",23,0.372008907603967,"C2N2"
"100010",2,1.35659051847085,"C2N4"
"000100",2,0.905141703542676,"C2N4"
"000010",4,0.534761003500211,"C2N4"
"000110",13,0.0956638553017343,"C2N4"
