"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,50,15,50,29,2,1,0,0.3,1,0.58,0.04,0.02,0
2,68,39,4,0,0,5,60,0.573529411764706,0.0588235294117647,0,0,0.0735294117647059,0.882352941176471
3,48,0,0,33,48,36,0,0,0,0.6875,1,0.75,0
4,31,3,0,25,0,15,2,0.0967741935483871,0,0.806451612903226,0,0.483870967741935,0.0645161290322581
