"labelset","mean_distance","n_instances"
"000001",0.285337290821348,24
"011000",0.340668798768076,24
"001110",0.345645441856909,23
"100001",0.35813364948109,27
"001000",0.431433336779563,14
"110000",0.594836378980152,12
"010000",0.6193578044994,8
"100000",0.62127163397386,8
"001010",0.655443133077067,8
"000110",0.657619502274054,13
"001100",0.733042406158209,10
"010001",0.948578037276102,1
"000010",0.967417193494212,4
"111000",0.984048970803087,3
"110001",1.02137439593584,3
"000100",1.04501646657535,2
"101000",1.07481350881457,1
"000011",1.07956659334567,4
"001001",1.08226101699027,1
"011100",1.10031826154149,2
"100011",1.15236295200541,1
"010010",1.28731643148595,1
"100010",1.28923026096041,2
"001011",1.6063369833262,1
