"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive"
1,66,18,51,46,2,0,0
2,65,38,4,1,0,1,57
3,67,2,0,43,47,54,6
