"neuron","labelset","frequencia"
1,"000001",135
1,"001000",120
1,"000100",109
1,"001100",8
1,"000101",2
2,"010000",122
3,"000010",135
3,"000110",25
3,"001010",5
3,"000011",1
4,"100000",123
4,"100010",12
4,"100001",6
