"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive"
1,77,27,53,45,3,2,0
2,59,0,0,41,46,48,2
3,62,31,4,1,0,6,62
