"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,141,141,0,0,0,12,6,1,0,0,0,0.0851063829787234,0.0425531914893617
2,122,0,122,0,0,0,0,0,1,0,0,0,0
3,166,0,0,5,25,166,1,0,0,0.0301204819277108,0.150602409638554,1,0.00602409638554217
4,374,0,0,128,119,0,137,0,0,0.342245989304813,0.318181818181818,0,0.366310160427808
