"cluster","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,681,141,0,133,144,178,144,0.20704845814978,0,0.195301027900147,0.211453744493392,0.261380323054332,0.211453744493392
2,122,0,122,0,0,0,0,0,1,0,0,0,0
