"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","fold","dataset","neighborhood"
1,137,26,50,87,50,52,2,1,"emotions","gaussian"
2,60,31,4,0,0,5,60,1,"emotions","gaussian"
1,151,58,55,57,2,21,62,2,"emotions","gaussian"
2,47,0,0,33,47,34,1,2,"emotions","gaussian"
1,136,27,53,86,49,50,2,3,"emotions","gaussian"
2,62,31,4,1,0,6,62,3,"emotions","gaussian"
