"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,50,15,50,29,2,1,0,0.3,1,0.58,0.04,0.02,0
2,57,1,0,57,33,32,1,0.0175438596491228,0,1,0.578947368421053,0.56140350877193,0.0175438596491228
3,69,39,4,1,0,5,61,0.565217391304348,0.0579710144927536,0.0144927536231884,0,0.072463768115942,0.884057971014493
4,21,2,0,0,15,19,0,0.0952380952380952,0,0,0.714285714285714,0.904761904761905,0
