"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,38,29,28,4,1,2,2,0.763157894736842,0.736842105263158,0.105263157894737,0.0263157894736842,0.0526315789473684,0.0526315789473684
2,60,29,2,1,0,6,60,0.483333333333333,0.0333333333333333,0.0166666666666667,0,0.1,1
3,41,0,27,41,2,0,0,0,0.658536585365854,1,0.0487804878048781,0,0
4,59,0,0,41,46,48,2,0,0,0.694915254237288,0.779661016949153,0.813559322033898,0.0338983050847458
