"neuron","labelset","frequencia"
1,"001000",120
1,"001100",7
1,"001010",4
2,"000001",135
2,"010000",121
2,"000101",2
3,"100000",123
3,"100010",13
3,"100001",7
4,"000010",135
4,"000100",109
4,"000110",25
4,"001110",1
