"labelset","n","mean_distance","cluster_neuron"
"011100",2,1.07822382659698,"C1N1"
"111000",4,0.996018319186361,"C1N1"
"001000",14,0.41286325652115,"C1N1"
"011000",25,0.359714622314544,"C1N1"
"000111",1,1.67647220071145,"C1N2"
"001011",1,1.55675244085077,"C1N2"
"000100",1,1.17746853026886,"C1N2"
"000010",4,1.0275096395257,"C1N2"
"001100",10,0.74447516527662,"C1N2"
"000110",12,0.714236034394134,"C1N2"
"001010",8,0.594516274533457,"C1N2"
"001110",22,0.281242669401889,"C1N2"
"010100",1,1.33245267569579,"C1N4"
"100010",2,1.27736623817948,"C1N4"
"110000",13,0.67050836825295,"C1N4"
"010000",8,0.652446609940245,"C1N4"
"100000",8,0.638026465645299,"C1N4"
"100011",2,1.18618638002176,"C2N3"
"000011",4,1.14308111159644,"C2N3"
"001001",1,1.09609270731232,"C2N3"
"110001",2,1.00953845917843,"C2N3"
"010001",2,0.966433190753106,"C2N3"
"100001",27,0.330374028679024,"C2N3"
"000001",24,0.287268760253704,"C2N3"
