"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,131,0,0,131,7,4,0,0,0,1,0.0534351145038168,0.0305343511450382,0
2,258,0,121,0,2,0,137,0,0.468992248062016,0,0.00775193798449612,0,0.531007751937985
3,143,143,0,0,0,13,7,1,0,0,0,0.0909090909090909,0.048951048951049
4,270,0,0,1,135,161,0,0,0,0.0037037037037037,0.5,0.596296296296296,0
