"cluster","labelset","frequencia"
1,"010000",121
1,"001000",120
1,"000100",109
1,"001100",7
2,"000001",135
2,"100000",123
2,"100001",7
2,"000101",2
3,"000010",135
3,"000110",25
3,"100010",13
3,"001010",4
3,"001110",1
