"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,66,18,51,46,2,0,0,0.272727272727273,0.772727272727273,0.696969696969697,0.0303030303030303,0,0
2,65,38,4,1,0,1,57,0.584615384615385,0.0615384615384615,0.0153846153846154,0,0.0153846153846154,0.876923076923077
3,67,2,0,43,47,54,6,0.0298507462686567,0,0.641791044776119,0.701492537313433,0.805970149253731,0.0895522388059701
