"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,120,1,0,8,120,0,2,0.00833333333333333,0,0.0666666666666667,1,0,0.0166666666666667
2,177,13,0,4,25,177,0,0.0734463276836158,0,0.0225988700564972,0.141242937853107,1,0
3,264,129,0,0,0,0,141,0.488636363636364,0,0,0,0,0.534090909090909
4,241,0,121,120,0,0,0,0,0.50207468879668,0.49792531120332,0,0,0
