"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,237,0,0,128,117,1,0,0,0,0.540084388185654,0.493670886075949,0.00421940928270042,0
2,177,13,0,4,25,177,0,0.0734463276836158,0,0.0225988700564972,0.141242937853107,1,0
3,121,0,121,0,0,0,0,0,1,0,0,0,0
4,267,130,0,0,2,0,144,0.48689138576779,0,0,0.00749063670411985,0,0.539325842696629
