"neuron","labelset","frequencia"
1,"001000",120
1,"000100",109
1,"001100",7
1,"001110",1
2,"000010",135
2,"000110",25
2,"100010",13
2,"001010",4
3,"010000",121
4,"000001",135
4,"100000",123
4,"100001",7
4,"000101",2
