"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,270,0,0,0,134,161,1,0,0,0,0.496296296296296,0.596296296296296,0.0037037037037037
2,133,0,0,133,8,5,0,0,0,1,0.0601503759398496,0.037593984962406,0
3,141,141,0,0,0,12,6,1,0,0,0,0.0851063829787234,0.0425531914893617
4,259,0,122,0,2,0,137,0,0.471042471042471,0,0.00772200772200772,0,0.528957528957529
