"dataset","grid_neighborhood","n_configs","qe_medio","qe_mediano","qe_min","qe_max","qe_dp"
"emotions","bubble",1944,0.351653978399621,0.343416695219072,0.174804490020202,0.602550516579581,0.0905966589913895
"emotions","gaussian",1944,0.435350936406145,0.433878493715827,0.245592867048398,0.653021073249667,0.102792681033053
"flags","bubble",1944,0.694233127477152,0.688929326444387,0.498384189879059,0.945834411581062,0.0963381179786272
"flags","gaussian",1944,0.762780846479903,0.768159626944017,0.387584691075912,0.968634386908806,0.0955325361562341
"scene","bubble",1944,0.157904662729947,0.0661690599244495,0.0168472630822225,0.509574967498744,0.148739111367373
"scene","gaussian",1944,0.315418723955467,0.200188228343716,0.105580940340907,0.531103252385991,0.14822733923205
