"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.5,0.001,0,0.290404711796585
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.5,0.001,0,0.28656699473328
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.5,0.001,0,0.303961780130371
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.5,0.001,0,0.289569852124324
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.1,0.001,0,0.330720854729171
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.1,0.001,0,0.336850950471227
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.1,0.001,0,0.336278995534485
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.1,0.001,0,0.346529336458847
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.1,0.001,0,0.354806677609621
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.1,0.001,0,0.364064150049151
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.1,0.001,1,0.364064150049151
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.1,0.001,1,0.364064150049151
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.1,0.001,1,0.364064150049151
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.05,0.001,1,0.364064150049151
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.05,0.001,0,0.329568550794666
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.05,0.001,1,0.329568550794666
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.05,0.001,0,0.336909501016513
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.05,0.001,0,0.365399485566263
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.05,0.001,0,0.355350723511215
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.05,0.001,1,0.355350723511215
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.05,0.001,0,0.333766282563826
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.05,0.001,1,0.333766282563826
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.5,0.01,0,0.259539666196159
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.5,0.01,0,0.25648913358862
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.5,0.01,0,0.251202777966335
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.5,0.01,0,0.249696283978747
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.5,0.01,0,0.256712187106134
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.5,0.01,0,0.252373726887291
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.5,0.01,0,0.245592867048398
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.5,0.01,0,0.262023873621638
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.5,0.01,0,0.268972836792365
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.1,0.01,0,0.268394710465564
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.1,0.01,0,0.269528365778184
"emotions","fold1","gaussian","hexagonal",3,3,1500,3,0.1,0.01,0,0.260237447907174
"emotions","fold1","gaussian","hexagonal",3,3,500,5,0.1,0.01,0,0.26181252455682
"emotions","fold1","gaussian","hexagonal",3,3,1000,5,0.1,0.01,0,0.24990678616594
"emotions","fold1","gaussian","hexagonal",3,3,1500,5,0.1,0.01,0,0.282948317464072
"emotions","fold1","gaussian","hexagonal",3,3,500,7,0.1,0.01,0,0.26235038156444
"emotions","fold1","gaussian","hexagonal",3,3,1000,7,0.1,0.01,1,0.26235038156444
"emotions","fold1","gaussian","hexagonal",3,3,1500,7,0.1,0.01,0,0.269119668769194
"emotions","fold1","gaussian","hexagonal",3,3,500,3,0.05,0.01,0,0.292238517553184
"emotions","fold1","gaussian","hexagonal",3,3,1000,3,0.05,0.01,0,0.268259413554219
