"grid_neighborhood","grid_size_x","grid_size_y","n_configs","qe_medio","qe_mediano","qe_min","qe_max","qe_dp"
"bubble",2,2,1458,0.560636758700951,0.479724048047341,0.357500698171968,0.945834411581062,0.195655665935324
"bubble",2,3,1458,0.372398754496725,0.34309566045865,0.065113713424333,0.785219417020718,0.253581567704638
"bubble",3,2,1458,0.373708109834794,0.344120030771349,0.0651257741026632,0.800517103747136,0.247889211100482
"bubble",3,3,1458,0.298312068443156,0.246283652983782,0.0168472630822225,0.65439869883583,0.219082316568863
"gaussian",2,2,1458,0.63664370634973,0.577543676144491,0.422349742980284,0.968634386908806,0.186715909981403
"gaussian",2,3,1458,0.462060373237522,0.421991023532419,0.167898526037318,0.84360553975333,0.238783562596004
"gaussian",3,2,1458,0.464449488156234,0.436643585984664,0.169031809640972,0.841289025984398,0.238925676376983
"gaussian",3,3,1458,0.454913774711866,0.487327900471074,0.105580940340907,0.711443642957719,0.162301553405083
