"dataset","grid_topology","n_configs","qe_medio","qe_mediano","qe_min","qe_max","qe_dp"
"emotions","hexagonal",1944,0.380890494700421,0.384190927444414,0.174804490020202,0.632791999616862,0.104487033661536
"emotions","rectangular",1944,0.406114420105345,0.417069617003406,0.178645182863323,0.653021073249667,0.10508404168957
"flags","hexagonal",1944,0.722125249063733,0.730441892968242,0.498384189879059,0.967036845111377,0.097595933031013
"flags","rectangular",1944,0.734888724893321,0.738365971127876,0.387584691075912,0.968634386908806,0.10560133174184
"scene","hexagonal",1944,0.222991807776381,0.172165312276443,0.0168472630822225,0.531103252385991,0.16118442609895
"scene","rectangular",1944,0.250331578909033,0.198537679619026,0.0191311867182373,0.531103252385991,0.173643452547471
