"dataset","n_configs","qe_medio","qe_mediano","qe_min","qe_max","qe_dp"
"emotions",3888,0.393502457402883,0.388066415597274,0.174804490020202,0.653021073249667,0.105529027804715
"flags",3888,0.728506986978527,0.733705174902948,0.387584691075912,0.968634386908806,0.10186452301248
"scene",3888,0.236661693342707,0.196971053204005,0.0168472630822225,0.531103252385991,0.168065246919092
