"labelset","n","mean_distance","cluster_neuron"
"010100",1,1.34106479299793,"C1N1"
"011100",2,1.18013327096583,"C1N1"
"110000",13,0.800412613726889,"C1N1"
"111000",4,0.639481091694788,"C1N1"
"010000",8,0.442630263231804,"C1N1"
"011000",25,0.281698741199703,"C1N1"
"001011",1,1.47781429372892,"C2N2"
"001000",14,0.632585827107951,"C2N2"
"001010",8,0.509423779554397,"C2N2"
"001100",10,0.50659685568196,"C2N2"
"001110",22,0.383434808128406,"C2N2"
"100010",2,1.29681953877068,"C2N4"
"000111",1,1.04685129855314,"C2N4"
"000100",1,0.956814081762179,"C2N4"
"000010",4,0.500695324731924,"C2N4"
"000110",12,0.110115487284449,"C2N4"
"001001",1,1.35131271003236,"C3N3"
"010001",2,1.25348754359032,"C3N3"
"000011",4,1.19159737585145,"C3N3"
"110001",2,1.08541492096518,"C3N3"
"100011",2,1.02352475322631,"C3N3"
"100000",8,0.928509278383047,"C3N3"
"000001",24,0.371739258127954,"C3N3"
"100001",27,0.203666635502817,"C3N3"
