"labelset","n","mean_distance","cluster_neuron"
"010010",1,1.2024407404152,"C1N1"
"100010",2,1.01183940845654,"C1N1"
"001011",1,0.916111276919229,"C1N1"
"000011",4,0.765141287956351,"C1N1"
"001010",8,0.407084425962267,"C1N1"
"000010",4,0.256114436999389,"C1N1"
"000100",2,1.04618796879783,"C1N2"
"001100",10,0.656035383222156,"C1N2"
"000110",13,0.545445597833185,"C1N2"
"001110",23,0.155293012257508,"C1N2"
"001001",1,1.39840559818254,"C2N3"
"010001",1,1.28679330330476,"C2N3"
"100011",1,1.08146644270401,"C2N3"
"110001",3,1.02036409195482,"C2N3"
"100000",8,0.928779314362239,"C2N3"
"000001",24,0.419284887670674,"C2N3"
"100001",27,0.152855676320729,"C2N3"
"101000",1,1.28491306064865,"C3N4"
"011100",2,1.15507482080099,"C3N4"
"110000",12,1.0793188659984,"C3N4"
"001000",14,0.766312082551522,"C3N4"
"111000",3,0.73644786731105,"C3N4"
"010000",8,0.560717887901273,"C3N4"
"011000",24,0.217846889213925,"C3N4"
