"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,237,0,0,128,117,0,0,0,0,0.540084388185654,0.493670886075949,0,0
2,177,13,0,4,25,177,0,0.0734463276836158,0,0.0225988700564972,0.141242937853107,1,0
3,143,6,0,0,2,0,143,0.041958041958042,0,0,0.013986013986014,0,1
4,245,124,121,0,1,0,0,0.506122448979592,0.493877551020408,0,0.00408163265306122,0,0
