"labelset","n","mean_distance","cluster_neuron"
"001011",1,1.34033371330422,"C1N1"
"010001",1,0.970472106091696,"C1N1"
"000011",4,0.848666853881111,"C1N1"
"001001",1,0.793863241673286,"C1N1"
"000001",24,0.302196382250177,"C1N1"
"100010",2,1.3330959123444,"C1N3"
"100011",1,1.22063866888843,"C1N3"
"110000",12,0.831718462962824,"C1N3"
"110001",3,0.719261219506856,"C1N3"
"100000",8,0.445495427095988,"C1N3"
"100001",27,0.33303818364002,"C1N3"
"000100",2,1.05359850483143,"C2N2"
"000010",4,1.03510588350868,"C2N2"
"001100",10,0.711476096231392,"C2N2"
"001010",8,0.692983474908638,"C2N2"
"000110",13,0.63096047060589,"C2N2"
"001110",23,0.288838062005848,"C2N2"
"010010",1,1.45663670225266,"C3N4"
"011100",2,1.14237224302201,"C3N4"
"101000",1,1.13885155917629,"C3N4"
"111000",3,1.04207207218163,"C3N4"
"010000",8,0.720097815257499,"C3N4"
"001000",14,0.491997134411758,"C3N4"
"011000",24,0.3952176474171,"C3N4"
