"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,353,123,121,0,109,0,0,0.348441926345609,0.342776203966006,0,0.308781869688385,0,0
2,144,7,0,0,2,0,144,0.0486111111111111,0,0,0.0138888888888889,0,1
3,131,0,0,131,7,4,0,0,0,1,0.0534351145038168,0.0305343511450382,0
4,174,13,0,1,26,174,0,0.0747126436781609,0,0.00574712643678161,0.149425287356322,1,0
