"neuron","labelset","frequencia"
1,"011000",25
1,"110000",13
1,"010000",8
1,"111000",4
1,"011100",2
1,"010100",1
2,"001110",22
2,"000110",12
2,"001100",10
2,"000100",1
2,"000111",1
3,"100001",27
3,"000001",24
3,"100000",8
3,"000011",4
3,"010001",2
3,"100010",2
3,"100011",2
3,"110001",2
4,"001000",14
4,"001010",8
4,"000010",4
4,"001001",1
4,"001011",1
