"neuron","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","prop_Beach","prop_Sunset","prop_FallFoliage","prop_Field","prop_Mountain","prop_Urban"
1,143,6,0,0,2,0,143,0.041958041958042,0,0,0.013986013986014,0,1
2,237,0,0,128,117,0,0,0,0,0.540084388185654,0.493670886075949,0,0
3,178,12,0,5,25,178,1,0.0674157303370786,0,0.0280898876404494,0.140449438202247,1,0.00561797752808989
4,245,123,122,0,0,0,0,0.502040816326531,0.497959183673469,0,0,0,0
