"neuron","labelset","frequencia"
1,"001000",120
1,"001100",8
1,"001010",4
2,"000001",135
2,"000010",135
2,"000100",109
2,"000110",25
2,"000101",2
3,"010000",121
4,"100000",123
4,"100010",13
4,"100001",6
4,"100100",1
