"cluster","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","fold","dataset","neighborhood"
1,136,26,50,86,50,52,1,1,"emotions","gaussian"
2,61,31,4,1,0,5,61,1,"emotions","gaussian"
1,81,2,0,57,47,54,6,2,"emotions","gaussian"
2,117,56,55,33,2,1,57,2,"emotions","gaussian"
1,133,19,53,87,49,54,7,3,"emotions","gaussian"
2,65,39,4,0,0,2,57,3,"emotions","gaussian"
