"neuron","labelset","frequencia"
1,"100000",123
1,"010000",121
1,"000100",109
2,"000001",135
2,"100001",7
2,"000101",2
3,"001000",120
3,"001100",7
3,"001010",4
4,"000010",135
4,"000110",25
4,"100010",13
4,"001110",1
