"cluster","n_instancias","Beach","Sunset","FallFoliage","Field","Mountain","Urban","fold","dataset","neighborhood"
1,131,0,0,131,7,4,0,1,"scene","bubble"
2,671,143,121,1,137,174,144,1,"scene","bubble"
1,659,135,122,133,142,177,0,2,"scene","bubble"
2,144,6,0,0,2,1,144,2,"scene","bubble"
1,670,143,121,0,137,173,143,3,"scene","bubble"
2,132,0,0,132,8,4,0,3,"scene","bubble"
