"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,66,18,51,46,2,0,0,0.272727272727273,0.772727272727273,0.696969696969697,0.0303030303030303,0,0
2,65,38,4,1,0,1,57,0.584615384615385,0.0615384615384615,0.0153846153846154,0,0.0153846153846154,0.876923076923077
3,47,0,0,33,47,34,1,0,0,0.702127659574468,1,0.723404255319149,0.0212765957446809
4,20,2,0,10,0,20,5,0.1,0,0.5,0,1,0.25
