"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,45,4,29,45,2,0,1,0.0888888888888889,0.644444444444444,1,0.0444444444444444,0,0.0222222222222222
2,61,0,0,42,48,49,1,0,0,0.688524590163934,0.786885245901639,0.80327868852459,0.0163934426229508
3,60,31,4,0,0,5,60,0.516666666666667,0.0666666666666667,0,0,0.0833333333333333,1
4,31,22,21,0,0,3,0,0.709677419354839,0.67741935483871,0,0,0.0967741935483871,0
