"rotulo","Beach","Sunset","FallFoliage","Field","Mountain","Urban"
"Beach",0,0,0,0,13,7
"Sunset",0,0,0,0,0,0
"FallFoliage",0,0,0,8,5,0
"Field",0,0,8,0,26,2
"Mountain",13,0,5,26,0,0
"Urban",7,0,0,2,0,0
