"neuron","n_instancias","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive","prop_amazed.suprised","prop_happy.pleased","prop_relaxing.calm","prop_quiet.still","prop_sad.lonely","prop_angry.aggresive"
1,53,17,53,31,3,0,0,0.320754716981132,1,0.584905660377358,0.0566037735849057,0,0
2,46,0,0,32,46,35,1,0,0,0.695652173913043,1,0.760869565217391,0.0217391304347826
3,71,41,4,0,0,8,61,0.577464788732394,0.0563380281690141,0,0,0.112676056338028,0.859154929577465
4,28,0,0,24,0,13,2,0,0,0.857142857142857,0,0.464285714285714,0.0714285714285714
