"labelset","mean_distance","n_instances"
"010000",2.41588652223935e-30,122
"000010",0.0244644982698381,135
"000001",0.359669191442779,135
"001000",0.434160420734363,120
"000101",0.506230572436487,2
"100000",0.572059895543804,123
"000100",0.669345988376909,109
"000110",0.754301150904056,25
"100010",0.872649778462936,12
"001010",0.981779024517989,5
"000011",1.02446449826984,1
"100001",1.25998353435857,6
"001100",1.38019217826336,8
