"labelset","n","mean_distance","cluster_neuron"
"001010",4,0.984806401208451,"C1N1"
"000110",25,0.745165236436171,"C1N1"
"000010",135,0.0190457112016424,"C1N1"
"001100",8,1.07482595789341,"C1N2"
"000101",2,0.980941976900499,"C1N2"
"000100",109,0.747639149522871,"C1N2"
"001000",120,0.678382456439187,"C1N2"
"000001",135,0.584498475446281,"C1N2"
"100100",1,0.996779743953792,"C1N3"
"100001",6,0.961305234133992,"C1N3"
"100010",13,0.805714566743244,"C1N3"
"100000",123,0.0112351689020198,"C1N3"
"010000",121,2.41588652223935e-30,"C2N4"
