"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val"
"emotions",2,"bubble","hexagonal","2x2",1000,2,0.05,0.01,0,0.494962754869596
"scene",2,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.441584067229212
"scene",2,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.452171939374633
"scene",2,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.455426172230199
"scene",2,"gaussian","rectangular","2x2",100,2,0.05,0.01,0,0.453033002191873
"scene",2,"gaussian","rectangular","2x2",500,2,0.05,0.01,0,0.450427837245354
"scene",2,"gaussian","rectangular","2x2",1000,2,0.05,0.01,0,0.456990378532667
"scene",2,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.431120623297238
"scene",2,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.434891038090141
"scene",2,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.431917956999046
"scene",2,"gaussian","hexagonal","2x2",100,2,0.05,0.01,0,0.428677240624727
"scene",2,"gaussian","hexagonal","2x2",500,2,0.05,0.01,0,0.453201053216195
"scene",2,"gaussian","hexagonal","2x2",1000,2,0.05,0.01,0,0.445827967883088
"scene",2,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.361992154580226
"scene",2,"bubble","rectangular","2x2",500,1,0.05,0.01,1,0.55655092834495
"scene",2,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.36568317642441
"scene",2,"bubble","rectangular","2x2",100,2,0.05,0.01,0,0.368386645120922
"scene",2,"bubble","rectangular","2x2",500,2,0.05,0.01,0,0.389871675790818
"scene",2,"bubble","rectangular","2x2",1000,2,0.05,0.01,0,0.372781896772446
"scene",2,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.382514288377303
"scene",2,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.381535793873075
"scene",2,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.37285159123855
"scene",2,"bubble","hexagonal","2x2",100,2,0.05,0.01,0,0.383334467163646
"scene",2,"bubble","hexagonal","2x2",500,2,0.05,0.01,0,0.367301142096566
"scene",2,"bubble","hexagonal","2x2",1000,2,0.05,0.01,0,0.366834780987941
"emotions",3,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.591424087116893
"emotions",3,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.573086236434627
"emotions",3,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.586647846184391
"emotions",3,"gaussian","rectangular","2x2",100,2,0.05,0.01,0,0.591292214263814
"emotions",3,"gaussian","rectangular","2x2",500,2,0.05,0.01,0,0.605339458892553
"emotions",3,"gaussian","rectangular","2x2",1000,2,0.05,0.01,0,0.589285906223672
"emotions",3,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.545343519539956
"emotions",3,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.556791734923339
"emotions",3,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.557902079284983
"emotions",3,"gaussian","hexagonal","2x2",100,2,0.05,0.01,0,0.556604186221224
"emotions",3,"gaussian","hexagonal","2x2",500,2,0.05,0.01,0,0.574088553044174
"emotions",3,"gaussian","hexagonal","2x2",1000,2,0.05,0.01,0,0.562301524144827
"emotions",3,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.465049666451641
"emotions",3,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.497498263103186
"emotions",3,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.465102494800829
"emotions",3,"bubble","rectangular","2x2",100,2,0.05,0.01,0,0.483132730848674
"emotions",3,"bubble","rectangular","2x2",500,2,0.05,0.01,0,0.483676922184723
"emotions",3,"bubble","rectangular","2x2",1000,2,0.05,0.01,0,0.506889101911624
"emotions",3,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.460470933350928
"emotions",3,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.50199924039775
"emotions",3,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.484308051673185
"emotions",3,"bubble","hexagonal","2x2",100,2,0.05,0.01,0,0.508821749915716
"emotions",3,"bubble","hexagonal","2x2",500,2,0.05,0.01,0,0.499344127591426
"emotions",3,"bubble","hexagonal","2x2",1000,2,0.05,0.01,0,0.483612069480409
"scene",3,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.457292883100891
"scene",3,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.439974838409422
"scene",3,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.459970620250253
"scene",3,"gaussian","rectangular","2x2",100,2,0.05,0.01,0,0.460462699361793
"scene",3,"gaussian","rectangular","2x2",500,2,0.05,0.01,0,0.461051530171431
"scene",3,"gaussian","rectangular","2x2",1000,2,0.05,0.01,0,0.456698114679528
"scene",3,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.436186056208198
"scene",3,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.426159475348524
"scene",3,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.439322022535567
"scene",3,"gaussian","hexagonal","2x2",100,2,0.05,0.01,0,0.443733728310551
"scene",3,"gaussian","hexagonal","2x2",500,2,0.05,0.01,0,0.437868515938572
"scene",3,"gaussian","hexagonal","2x2",1000,2,0.05,0.01,0,0.44302595465297
"scene",3,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.379144208916224
"scene",3,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.358922302761788
"scene",3,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.37170299732181
"scene",3,"bubble","rectangular","2x2",100,2,0.05,0.01,0,0.372711749479421
"scene",3,"bubble","rectangular","2x2",500,2,0.05,0.01,0,0.363739461624007
"scene",3,"bubble","rectangular","2x2",1000,2,0.05,0.01,0,0.381202138328931
"scene",3,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.371043504998897
"scene",3,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.508672865216985
"scene",3,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.367968473727773
"scene",3,"bubble","hexagonal","2x2",100,2,0.05,0.01,0,0.382157599319695
"scene",3,"bubble","hexagonal","2x2",500,2,0.05,0.01,0,0.382751384008884
"scene",3,"bubble","hexagonal","2x2",1000,2,0.05,0.01,0,0.370249227415795
