"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val","iter_time_s"
"emotions",1,"bubble","rectangular","2x2",500,1,0.1,0.005,0,0.481169668135835,1.43
"emotions",1,"bubble","rectangular","2x2",1000,1,0.1,0.005,0,0.458377390614147,1.45
"emotions",1,"bubble","rectangular","2x2",100,1.5,0.1,0.005,0,0.482618700250327,1.46
"emotions",1,"bubble","rectangular","2x2",500,1.5,0.1,0.005,0,0.459270283153463,1.47
"emotions",1,"bubble","rectangular","2x2",1000,1.5,0.1,0.005,0,0.458952279331155,1.49
"emotions",1,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.509276330560276,1.5
"emotions",1,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.496058319108823,1.51
"emotions",1,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.466708933615509,1.54
"emotions",1,"bubble","rectangular","2x2",100,1.5,0.05,0.01,0,0.481282604120156,1.54
"emotions",1,"bubble","rectangular","2x2",500,1.5,0.05,0.01,0,0.466281619991732,1.55
"emotions",1,"bubble","rectangular","2x2",1000,1.5,0.05,0.01,0,0.459038669958391,1.59
"emotions",1,"bubble","rectangular","2x2",100,1,0.1,0.01,0,0.459735126817941,1.6
"emotions",1,"bubble","rectangular","2x2",500,1,0.1,0.01,0,0.45997210847885,1.61
"emotions",1,"bubble","rectangular","2x2",1000,1,0.1,0.01,0,0.464049735102905,1.64
"emotions",1,"bubble","rectangular","2x2",100,1.5,0.1,0.01,0,0.496080565603135,1.64
"emotions",1,"bubble","rectangular","2x2",500,1.5,0.1,0.01,0,0.461503796090371,1.65
"emotions",1,"bubble","rectangular","2x2",1000,1.5,0.1,0.01,0,0.45905243036502,1.68
"emotions",1,"bubble","hexagonal","2x2",100,1,0.05,0.005,0,0.49529996582719,1.68
"emotions",1,"bubble","hexagonal","2x2",500,1,0.05,0.005,0,0.481574071510988,1.69
"emotions",1,"bubble","hexagonal","2x2",1000,1,0.05,0.005,0,0.508475292738736,1.73
"emotions",1,"bubble","hexagonal","2x2",100,1.5,0.05,0.005,0,0.483829164743997,1.73
"emotions",1,"bubble","hexagonal","2x2",500,1.5,0.05,0.005,0,0.502228357863342,1.75
"emotions",1,"bubble","hexagonal","2x2",1000,1.5,0.05,0.005,0,0.458524693566989,1.78
"emotions",1,"bubble","hexagonal","2x2",100,1,0.1,0.005,0,0.45935170151246,1.78
"emotions",1,"bubble","hexagonal","2x2",500,1,0.1,0.005,0,0.46619218605803,1.79
"emotions",1,"bubble","hexagonal","2x2",1000,1,0.1,0.005,0,0.458394079458615,1.82
"emotions",1,"bubble","hexagonal","2x2",100,1.5,0.1,0.005,0,0.466850403532483,1.82
